,left_10,left_20,left_40,right_10,right_20,right_40
00000_W,4984,3275,1921,3626,5542,4672
00000_L,1308,4340,229,1126,1908,1108
00001_W,1375,861,670,1453,1470,6031
00001_L,4368,4445,5370,3309,3139,3914
00010_W,578,356,-278,377,2988,269
00010_L,2608,1462,2540,2631,865,2150
00011_W,1701,895,1218,1765,4003,1293
00011_L,593,911,150,1645,1179,-804
00100_W,2457,449,-174,66,536,-374
00100_L,250,-58,-655,268,47,-699
00101_W,1972,1656,6498,1941,2152,1699
00101_L,3309,2099,1543,2520,4045,2390
00110_W,1180,1340,215,2050,1041,1182
00110_L,1783,1750,2530,1872,1891,1060
00111_W,2506,2806,2474,2395,2509,2166
00111_L,3072,3057,3061,2987,2987,2472
01000_W,1236,1320,2707,1335,752,1185
01000_L,938,1107,1323,924,990,222
01001_W,341,379,3797,377,766,-110
01001_L,3736,4718,3489,3815,3170,2580
01010_W,1952,347,1787,2300,6162,1994
01010_L,-1065,-1519,-1520,153,-1257,-512
01011_W,1480,820,171,22,406,581
01011_L,-702,-770,-1688,630,-765,-854
01100_W,-899,-1123,-1465,-710,-1036,-1234
01100_L,2774,4436,12522,5382,4068,2543
01101_W,1010,1350,369,3260,11,482
01101_L,972,1688,1330,2450,1650,1380
01110_W,1032,880,567,983,2306,1035
01110_L,1571,335,1294,614,1512,109
01111_W,1972,2124,1402,1857,3513,1391
01111_L,-289,-552,-1546,996,-125,-1098
10000_W,635,858,257,1919,442,16
10000_L,1302,499,-421,883,847,649
10001_W,1392,948,-955,752,644,86
10001_L,1327,1289,851,1313,1467,1320
10010_W,2397,2220,1391,2564,2010,1920
10010_L,-182,-254,-512,-161,-226,1133
10011_W,1680,205,5491,1220,879,320
10011_L,1230,857,1013,1439,1399,5053
10100_W,5252,7106,3341,4810,3330,17083
10100_L,2739,2993,3160,3255,3658,3141
10101_W,-570,-435,-1766,-161,996,-623
10101_L,1054,2870,601,1171,651,-602
10110_W,203,-952,-1157,-983,-1085,-1403
10110_L,-197,-297,-507,526,-415,-641
10111_W,929,779,397,1227,388,-84
10111_L,374,-171,-199,9,88,-342
11000_W,3402,717,-640,2041,361,10992
11000_L,2165,2021,1849,2484,2211,1831
11001_W,-745,850,-1026,-1115,-693,-1307
11001_L,3537,1441,42,1872,2266,1205
11010_W,298,184,138,580,3594,-1426
11010_L,1697,2192,2898,1698,2111,1536
11011_W,450,302,15,1400,58,382
11011_L,3096,2219,2600,2818,3915,1764
11100_W,875,907,2827,776,854,1847
11100_L,-472,-538,-1272,-556,-329,501
11101_W,2186,2547,2055,2829,3486,1713
11101_L,461,297,-545,409,536,-96
11110_W,-185,-173,-463,-93,218,-632
11110_L,1746,-403,1462,2463,1617,1006
11111_W,754,1510,3053,2272,2603,1339
11111_L,-144,-867,-1811,1246,-298,-832
