,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
02-07-2024,20,61,1,39,63,52,43,31,12,21,14,43,77,39,18,36,89,83,27,44,94,21,69,95,74,89,7
03-07-2024,89,39,29,35,57,63,16,15,3,81,94,90,46,91,66,7,38,32,19,53,16,70,97,1,3,63,53
04-07-2024,13,22,2,95,98,35,43,73,6,59,27,86,6,77,69,67,20,20,64,71,8,38,26,78,36,28,89
05-07-2024,35,72,46,29,68,41,76,9,26,36,65,60,57,99,24,25,1,50,31,96,18,31,90,0,39,85,49
06-07-2024,3,54,28,81,21,29,77,56,89,92,27,40,89,48,67,20,88,29,46,7,84,37,96,13,8,61,51
07-07-2024,73,45,58,11,69,36,99,16,63,94,86,37,0,78,28,26,14,94,92,2,76,17,70,77,79,81,80
08-07-2024,57,11,16,75,40,89,3,28,97,11,49,23,56,19,26,72,73,48,55,27,43,24,53,88,67,50,78
09-07-2024,66,76,93,13,7,42,59,59,59,45,4,1,73,68,3,4,22,52,98,31,55,66,94,72,78,73,48
10-07-2024,94,74,93,60,84,25,13,43,22,99,97,63,41,3,26,70,47,63,76,0,16,5,27,32,81,16,41
11-07-2024,23,16,86,33,53,83,45,39,59,52,57,2,51,29,71,5,0,32,11,32,52,7,21,33,65,99,87
12-07-2024,19,19,99,44,67,78,80,93,52,72,58,40,25,20,37,14,59,48,69,66,59,76,12,66,36,72,6
13-07-2024,60,84,14,96,1,20,12,37,68,15,33,76,52,55,33,82,76,53,65,72,65,70,89,35,84,82,97
14-07-2024,7,74,31,24,49,98,6,79,70,79,54,63,94,20,59,9,95,10,62,69,54,23,1,20,99,33,18
15-07-2024,30,99,40,39,84,18,80,63,63,53,49,41,46,34,28,81,94,52,35,30,0,24,97,67,41,66,81
16-07-2024,96,89,79,9,1,70,78,41,9,65,62,97,44,21,66,89,12,50,3,86,59,94,39,45,12,60,22
17-07-2024,59,22,73,81,15,33,70,88,83,1,0,85,47,23,85,17,36,62,91,52,25,87,21,64,24,18,76
18-07-2024,59,45,5,80,56,55,76,76,37,22,95,31,31,87,92,73,14,77,69,29,49,57,68,2,44,97,20
19-07-2024,77,29,78,85,84,52,24,20,36,32,24,66,45,73,98,90,99,52,7,48,94,88,92,39,60,52,22
20-07-2024,82,77,60,15,75,18,52,97,45,58,36,89,4,1,65,67,64,7,72,7,39,3,2,16,62,42,90
21-07-2024,90,96,6,21,96,54,36,22,54,66,27,92,5,45,81,32,51,73,80,76,92,30,42,7,89,21,96
22-07-2024,96,22,99,33,33,38,36,21,29,21,73,12,16,98,23,65,86,2,8,48,23,28,2,54,11,44,13
23-07-2024,64,21,89,28,91,72,86,37,34,73,41,74,44,6,20,25,40,35,99,32,42,39,25,63,56,55,66
24-07-2024,55,97,79,32,36,46,85,73,30,0,76,11,26,49,80,10,76,59,72,14,83,63,89,80,92,66,18
25-07-2024,97,62,15,59,16,32,56,86,99,86,73,74,66,22,23,52,2,60,96,22,3,75,30,11,21,68,92
26-07-2024,13,67,96,24,28,68,32,43,82,55,12,89,32,87,39,22,66,99,36,16,26,21,74,37,66,47,70
27-07-2024,41,74,79,89,72,84,16,92,92,60,53,83,92,19,28,28,29,90,80,94,47,70,68,50,22,97,96
28-07-2024,89,47,16,35,89,41,51,67,22,18,38,48,69,13,65,88,11,13,2,46,18,48,23,77,13,45,73
29-07-2024,71,91,59,15,23,55,17,32,48,11,26,57,25,22,55,14,15,46,92,6,40,23,11,19,49,59,8
30-07-2024,94,13,79,81,4,74,76,47,30,66,47,56,90,61,20,40,96,39,19,0,9,6,45,52,72,76,39
31-07-2024,64,7,72,39,64,14,33,20,5,92,35,26,69,42,12,72,6,21,40,78,98,38,81,49,23,26,31
